id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.158,,,,,,,-1,0,-1,,,1.1e-05,29.631,30.809
hex_alex_centroids.159,,,,,,,-1,0,-1,,,8e-06,29.631,30.803
hex_alex_centroids.160,,,,,,,-1,0,-1,,,0.799914,29.631,30.796
hex_alex_centroids.161,,,,,,,-1,0,-1,,,0.000944,29.631,30.789
hex_alex_centroids.162,,,,,,,-1,0,-1,,,25.004131,29.631,30.782
hex_alex_centroids.163,,,,,,,-1,0,-1,,,0.000419,29.632,30.769
hex_alex_centroids.164,,,,,,,-1,0,-1,,,0.686903,29.632,30.762
hex_alex_centroids.165,,,,,,,-1,0,-1,,,45.245338,29.632,30.755
hex_alex_centroids.166,,,,,,,-1,0,-1,,,0.005622,29.634,30.722
hex_alex_centroids.167,,,,,,,-1,0,-1,,,2e-06,29.635,30.695
hex_alex_centroids.168,,,,,,,-1,0,-1,,,0.000883,29.635,30.688
hex_alex_centroids.169,,,,,,,-1,0,-1,,,0.000138,29.636,30.661
hex_alex_centroids.170,,,,,,,-1,0,-1,,,0.473909,29.636,30.654
hex_alex_centroids.171,,,,,,,-1,0,-1,,,0.111876,29.636,30.647
hex_alex_centroids.172,,,,,,,-1,0,-1,,,3e-06,29.644,30.411
hex_alex_centroids.173,,,,,,,-1,0,-1,,,1e-06,29.645,30.404
hex_alex_centroids.174,,,,,,,-1,0,-1,,,5566.865234,29.63,31.022
hex_alex_centroids.175,,,,,,,-1,0,-1,,,3731.80127,29.63,31.016
hex_alex_centroids.176,,,,,,,-1,0,-1,,,221.226425,29.631,31.002
hex_alex_centroids.177,,,,,,,-1,0,-1,,,10.467361,29.631,30.995
hex_alex_centroids.178,,,,,,,-1,0,-1,,,3e-06,29.631,30.982
hex_alex_centroids.179,,,,,,,-1,0,-1,,,99.93029,29.632,30.968
hex_alex_centroids.180,,,,,,,-1,0,-1,,,292.246948,29.632,30.962
hex_alex_centroids.181,,,,,,,-1,0,-1,,,132.672882,29.632,30.955
hex_alex_centroids.182,,,,,,,-1,0,-1,,,15.370632,29.633,30.921
hex_alex_centroids.183,,,,,,,-1,0,-1,,,0.087369,29.634,30.894
hex_alex_centroids.184,,,,,,,-1,0,-1,,,0.131294,29.635,30.887
hex_alex_centroids.185,,,,,,,-1,0,-1,,,0.000211,29.635,30.881
hex_alex_centroids.186,,,,,,,-1,0,-1,,,0.174545,29.635,30.874
hex_alex_centroids.187,,,,,,,-1,0,-1,,,29.230213,29.636,30.86
hex_alex_centroids.188,,,,,,,-1,0,-1,,,910.207153,29.636,30.853
hex_alex_centroids.189,,,,,,,-1,0,-1,,,0.686386,29.636,30.847
hex_alex_centroids.190,,,,,,,-1,0,-1,,,3.214112,29.636,30.84
hex_alex_centroids.191,,,,,,,-1,0,-1,,,0.525299,29.637,30.826
hex_alex_centroids.192,,,,,,,-1,0,-1,,,1.4e-05,29.637,30.82
hex_alex_centroids.193,,,,,,,-1,0,-1,,,2.548517,29.637,30.813
hex_alex_centroids.194,,,,,,,-1,0,-1,,,0.46178,29.637,30.806
hex_alex_centroids.195,,,,,,,-1,0,-1,,,0.001147,29.638,30.793
hex_alex_centroids.196,,,,,,,-1,0,-1,,,1.4e-05,29.638,30.786
hex_alex_centroids.197,,,,,,,-1,0,-1,,,1.3e-05,29.638,30.779
hex_alex_centroids.198,,,,,,,-1,0,-1,,,0.001188,29.639,30.772
hex_alex_centroids.199,,,,,,,-1,0,-1,,,15.089061,29.639,30.766
hex_alex_centroids.200,,,,,,,-1,0,-1,,,52.590546,29.639,30.752
hex_alex_centroids.201,,,,,,,-1,0,-1,,,685.504211,29.64,30.745
hex_alex_centroids.202,,,,,,,-1,0,-1,,,0.45087,29.64,30.739
hex_alex_centroids.203,,,,,,,-1,0,-1,,,0.263267,29.64,30.732
hex_alex_centroids.204,,,,,,,-1,0,-1,,,7e-06,29.641,30.712
hex_alex_centroids.205,,,,,,,-1,0,-1,,,0.000195,29.641,30.705
hex_alex_centroids.206,,,,,,,-1,0,-1,,,13.065638,29.642,30.671
hex_alex_centroids.207,,,,,,,-1,0,-1,,,0.29311,29.644,30.631
hex_alex_centroids.208,,,,,,,-1,0,-1,,,0.00019,29.65,30.455
hex_alex_centroids.209,,,,,,,-1,0,-1,,,390.59726,29.637,31.026
hex_alex_centroids.210,,,,,,,-1,0,-1,,,2471.228027,29.637,31.019
hex_alex_centroids.211,,,,,,,-1,0,-1,,,1379.885864,29.637,31.012
hex_alex_centroids.212,,,,,,,-1,0,-1,,,1097.338867,29.637,31.006
hex_alex_centroids.213,,,,,,,-1,0,-1,,,0.034079,29.638,30.979
hex_alex_centroids.214,,,,,,,-1,0,-1,,,644.644226,29.638,30.972
hex_alex_centroids.215,,,,,,,-1,0,-1,,,493.408264,29.639,30.965
hex_alex_centroids.216,,,,,,,-1,0,-1,,,253.565887,29.639,30.952
hex_alex_centroids.217,,,,,,,-1,0,-1,,,333.120056,29.639,30.945
hex_alex_centroids.218,,,,,,,-1,0,-1,,,254.097244,29.64,30.938
hex_alex_centroids.219,,,,,,,-1,0,-1,,,10.295214,29.64,30.931
hex_alex_centroids.220,,,,,,,-1,0,-1,,,24.365187,29.641,30.911
hex_alex_centroids.221,,,,,,,-1,0,-1,,,8.1545,29.641,30.904
hex_alex_centroids.222,,,,,,,-1,0,-1,,,0.179217,29.642,30.871
hex_alex_centroids.223,,,,,,,-1,0,-1,,,0.418925,29.643,30.844
hex_alex_centroids.224,,,,,,,-1,0,-1,,,3e-05,29.643,30.837
hex_alex_centroids.225,,,,,,,-1,0,-1,,,0.011896,29.643,30.83
hex_alex_centroids.226,,,,,,,-1,0,-1,,,0.000442,29.644,30.823
hex_alex_centroids.227,,,,,,,-1,0,-1,,,196.400787,29.644,30.81
hex_alex_centroids.228,,,,,,,-1,0,-1,,,0.793538,29.644,30.803
hex_alex_centroids.229,,,,,,,-1,0,-1,,,16.538939,29.645,30.796
hex_alex_centroids.230,,,,,,,-1,0,-1,,,314.112762,29.645,30.789
hex_alex_centroids.231,,,,,,,-1,0,-1,,,21.016653,29.645,30.776
hex_alex_centroids.232,,,,,,,-1,0,-1,,,0.582408,29.645,30.769
hex_alex_centroids.233,,,,,,,-1,0,-1,,,29.575644,29.646,30.762
